Sample in Buffer,Sample in Window,TRIGGER,lab6_mb_clock_i/system_ila_0/U0/probe0_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_abus_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_addrstrobe_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_ce_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_readdbus_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_readstrobe_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_ready_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_ue_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_0_LMB_wait_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_1_MBINTERRUPT_interrupt_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_access_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_address_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_byte_enable_1[0:3],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_read_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_write_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_data_write_value_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_hit_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_rdy_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_read_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_dcache_req_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_delay_slot_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_ex_piperun_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_exception_kind_1[0:4],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_exception_taken_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_icache_hit_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_icache_rdy_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_icache_req_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_instruction_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_jump_hit_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_jump_taken_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_mb_halted_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_mem_piperun_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_msr_reg_1[0:14],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_new_reg_value_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_of_piperun_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_pc_1[0:31],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_pid_reg_1[0:7],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_reg_addr_1[0:4],lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_reg_write_1,lab6_mb_clock_i/system_ila_0/U0/SLOT_2_MBTRACE_valid_instr_1
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
881,881,0,0,000003c4,1,0,fba10000,1,1,0,0,0,0,000003bc,f,0,0,000013e8,0,0,0,0,0,1,00,0,0,0,0,b9f4f334,0,1,0,1,0002,00001088,1,00001088,00,0f,1,1
882,882,0,0,000003c8,1,0,fbc10004,1,1,0,0,0,0,00000000,1,0,0,06060606,0,0,0,0,1,1,00,0,0,0,0,12760000,0,0,0,1,0002,00000000,1,0000108c,00,13,1,1
883,883,0,0,000003cc,1,0,fbe10008,1,1,0,0,0,0,00000000,1,0,0,06060606,0,0,0,0,1,1,00,0,0,0,0,12760000,0,0,0,1,0002,00000000,1,0000108c,00,13,0,0
884,884,0,0,000003d0,1,0,bc060094,1,1,0,0,0,0,0000400c,1,0,0,18181818,0,0,0,0,0,1,00,0,0,0,0,3021fff4,0,0,0,1,0002,0000400c,1,000003bc,00,01,1,1
885,885,0,0,000003d4,1,0,be050090,1,1,0,0,0,1,0000400c,f,0,1,0000000d,0,0,0,0,0,1,00,0,0,0,0,fba10000,0,0,0,1,0002,0000000d,1,000003c0,00,1d,0,1
886,886,0,0,000003d8,1,0,30600000,1,1,0,0,0,1,00004010,f,0,1,00000000,0,0,0,0,0,1,00,0,0,0,0,fbc10004,0,0,0,1,0002,00000000,1,000003c4,00,1e,0,1
887,887,0,0,00000460,1,0,33c00000,1,1,0,0,0,1,00004014,f,0,1,00000000,0,0,0,0,0,1,00,0,0,0,0,fbe10008,0,0,0,1,0002,00000000,1,000003c8,00,1f,0,1
888,888,0,0,00000464,1,0,80600000,1,1,0,0,0,0,00000460,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,bc060094,0,0,0,1,0002,000003cc,0,000003cc,00,00,0,1
889,889,0,0,00000468,1,0,eba10000,1,1,0,0,0,0,00000460,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,be050090,0,1,0,1,0002,000003d0,1,000003d0,00,10,0,1
890,890,0,0,0000046c,1,0,ebc10004,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,1,1,00,0,0,0,0,30600000,0,0,0,1,0002,00000000,1,000003d4,00,03,1,1
891,891,0,0,00000470,1,0,ebe10008,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,1,1,00,0,0,0,0,30600000,0,0,0,1,0002,00000000,1,000003d4,00,03,0,0
892,892,0,0,00000474,1,0,b60f0008,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,80600000,0,0,0,1,0002,00000000,1,00000460,00,03,1,1
893,893,0,0,00000478,1,0,3021000c,1,1,0,0,0,1,0000400c,f,1,0,0000000d,0,0,0,0,0,1,00,0,0,0,0,eba10000,0,0,0,1,0002,0000000d,1,00000464,00,1d,1,1
894,894,0,0,00001090,1,0,3021ffe0,1,1,0,0,0,1,00004010,f,1,0,00000000,0,0,0,0,0,1,00,0,0,0,0,ebc10004,0,0,0,1,0002,00000000,1,00000468,00,1e,1,1
895,895,0,0,00001094,1,0,3081001c,1,1,0,0,0,1,00004014,f,1,0,00000000,0,0,0,0,0,1,00,0,0,0,0,ebe10008,0,0,0,1,0002,00000000,0,0000046c,00,1f,1,1
896,896,0,0,00001098,1,0,10641800,1,1,0,0,0,0,00001090,3,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b60f0008,0,1,0,1,0002,00001088,1,00000470,00,10,0,1
897,897,0,0,0000109c,1,0,e0630020,1,1,0,0,0,0,00004018,1,0,0,0c0c0c0c,0,0,0,0,1,1,00,0,0,0,0,3021000c,0,0,0,1,0002,00004018,1,00000474,00,01,1,1
898,898,0,0,000010a0,1,0,10b90000,1,1,0,0,0,0,00004018,1,0,0,0c0c0c0c,0,0,0,0,1,1,00,0,0,0,0,3021000c,0,0,0,1,0002,00004018,1,00000474,00,01,0,0
899,899,0,0,000010a4,1,0,10d80000,1,1,0,0,0,0,00004034,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,3081001c,0,0,0,1,0002,00004034,1,00001090,00,04,1,1
900,900,0,0,000010a8,1,0,1081b000,1,1,0,0,0,0,00004034,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,10641800,0,0,0,1,0002,00004034,1,00001094,00,03,1,1
901,901,0,0,000010ac,1,0,b000ffff,1,1,0,0,0,1,00004054,1,1,0,00000000,0,0,0,0,0,1,00,0,0,0,0,e0630020,0,0,0,1,0002,00000030,1,00001098,00,03,1,1
902,902,0,0,000010b0,1,0,b9f4f268,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,10b90000,0,0,0,1,0002,00000000,1,0000109c,00,05,1,1
903,903,0,0,000010b4,1,0,f064001c,1,1,0,0,0,0,0000000a,4,0,0,0a0a0a0a,0,0,0,0,0,1,00,0,0,0,0,10d80000,0,0,0,1,0002,0000000a,1,000010a0,00,06,1,1
904,904,0,0,00000314,1,0,1658c803,1,1,0,0,0,0,00004018,1,0,0,34343434,0,0,0,0,0,1,00,0,0,0,0,1081b000,0,0,0,1,0002,00004018,1,000010a4,00,04,1,1
905,905,0,0,00000318,1,0,3021fff4,1,1,0,0,0,0,ffffffff,8,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b000ffff,0,0,0,1,0002,00000000,0,000010a8,00,00,0,1
906,906,0,0,0000031c,1,0,fba10000,1,1,0,0,0,0,00000314,f,0,0,00001088,0,0,0,0,0,1,00,0,0,0,0,b9f4f268,0,1,0,1,0002,000010ac,1,000010ac,00,0f,1,1
907,907,0,0,00000320,1,0,fbc10004,1,1,0,0,0,1,00004034,1,0,1,30303030,0,0,0,0,1,1,00,0,0,0,0,f064001c,0,0,0,1,0002,00000030,1,000010b0,00,03,0,1
908,908,0,0,00000324,1,0,fbe10008,1,1,0,0,0,0,00004034,1,0,0,30303030,0,0,0,0,1,1,00,0,0,0,0,f064001c,0,0,0,1,0002,00000000,1,000010b0,00,03,0,0
909,909,0,0,00000328,1,0,bc060080,1,1,0,0,0,0,0000400c,1,0,0,18181818,0,0,0,0,0,1,00,0,0,0,0,3021fff4,0,0,0,1,0002,0000400c,1,00000314,00,01,1,1
910,910,0,0,0000032c,1,0,be05007c,1,1,0,0,0,1,0000400c,f,0,1,0000000d,0,0,0,0,0,1,00,0,0,0,0,fba10000,0,0,0,1,0002,0000000d,1,00000318,00,1d,0,1
911,911,0,0,00000330,1,0,33c00000,1,1,0,0,0,1,00004010,f,0,1,00000000,0,0,0,0,0,1,00,0,0,0,0,fbc10004,0,0,0,1,0002,00000000,1,0000031c,00,1e,0,1
912,912,0,0,000003a4,1,0,33a00020,1,1,0,0,0,1,00004014,f,0,1,00000000,0,0,0,0,0,1,00,0,0,0,0,fbe10008,0,0,0,1,0002,00000000,1,00000320,00,1f,0,1
913,913,0,0,000003a8,1,0,80600000,1,1,0,0,0,0,000003a4,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,bc060080,0,0,0,1,0002,00000324,0,00000324,00,00,0,1
914,914,0,0,000003ac,1,0,eba10000,1,1,0,0,0,0,000003a4,f,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,be05007c,0,1,0,1,0002,00000328,1,00000328,00,10,0,1
915,915,0,0,000003b0,1,0,ebc10004,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,1,1,00,0,0,0,0,33c00000,0,0,0,1,0002,00000000,1,0000032c,00,1e,1,1
916,916,0,0,000003b4,1,0,ebe10008,1,1,0,0,0,0,00000000,1,0,0,00000000,0,0,0,0,1,1,00,0,0,0,0,33c00000,0,0,0,1,0002,00000000,1,0000032c,00,1e,0,0
917,917,0,0,000003b8,1,0,b60f0008,1,1,0,0,0,0,00000000,1,0,0,30303030,0,0,0,0,0,1,00,0,0,0,0,80600000,0,0,0,1,0002,00000000,1,000003a4,00,03,1,1
918,918,0,0,000003bc,1,0,3021000c,1,1,0,0,0,1,0000400c,f,1,0,0000000d,0,0,0,0,0,1,00,0,0,0,0,eba10000,0,0,0,1,0002,0000000d,1,000003a8,00,1d,1,1
919,919,0,0,000010b4,1,0,3021fff4,1,1,0,0,0,1,00004010,f,1,0,00000000,0,0,0,0,0,1,00,0,0,0,0,ebc10004,0,0,0,1,0002,00000000,1,000003ac,00,1e,1,1
920,920,0,0,000010b8,1,0,1658c803,1,1,0,0,0,1,00004014,f,1,0,00000000,0,0,0,0,0,1,00,0,0,0,0,ebe10008,0,0,0,1,0002,00000000,0,000003b0,00,1f,1,1
921,921,0,0,000010bc,1,0,beb2ffc0,1,1,0,0,0,0,000010b4,3,0,0,00000000,0,0,0,0,0,1,00,0,0,0,0,b60f0008,0,1,0,1,0002,000010ac,1,000003b4,00,10,0,1
922,922,0,0,000010c0,1,0,32d60001,1,1,0,0,0,0,00004018,1,0,0,0c0c0c0c,0,0,0,0,1,1,00,0,0,0,0,3021000c,0,0,0,1,0002,00004018,1,000003b8,00,01,1,1
923,923,0,0,000010c4,1,0,be1a001c,1,1,0,0,0,0,00004018,1,0,0,0c0c0c0c,0,0,0,0,1,1,00,0,0,0,0,3021000c,0,0,0,1,0002,00004018,1,000003b8,00,01,0,0
924,924,0,0,000010c8,1,0,30930002,1,1,0,0,0,0,fffffff6,c,0,0,00140014,0,0,0,0,0,1,00,0,0,0,0,1658c803,0,0,0,1,0002,fffffff6,1,000010b4,00,12,1,1
